,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
234,4,1.0,8,True,[100000],2,-1.9983902416518617,-1.9982788047534916
235,4,1.0,8,True,[100000],2,-1.9983902416518617,-1.9981507755572672
236,4,1.0,8,True,[100000],2,-1.9983902416518617,-1.99820815230159
237,4,1.0,8,True,[100000],2,-1.9983902416518617,-2.658392073057363
238,4,1.0,8,True,[100000],4,-1.9983902416518617,-2.227246880902681
239,4,1.0,8,True,[100000],4,-1.9983902416518617,-2.22518646107018
240,4,1.0,8,True,[100000],4,-1.9983902416518617,-2.1784086193818313
241,4,1.0,8,True,[100000],4,-1.9983902416518617,-2.9694037555017787
242,4,1.0,8,True,[100000],6,-1.9983902416518617,-2.0034728540248077
243,4,1.0,8,True,[100000],6,-1.9983902416518617,-2.0034469757922477
244,4,1.0,8,True,[100000],6,-1.9983902416518617,-2.0034323094200968
245,4,1.0,8,True,[100000],6,-1.9983902416518617,-2.003403493058668
246,4,1.0,16,True,[100000],2,-1.9995041022649365,-1.9995338656394324
247,4,1.0,16,True,[100000],2,-1.9995041022649365,-3.147054404899111
248,4,1.0,16,True,[100000],2,-1.9995041022649365,-3.9890795558480026
249,4,1.0,16,True,[100000],2,-1.9995041022649365,-3.788374730477655
250,4,1.0,16,True,[100000],2,-1.9995041022649365,-3.465989843108031
251,4,1.0,16,True,[100000],2,-1.9995041022649365,-3.8027722002514808
252,4,1.0,16,True,[100000],2,-1.9995041022649365,-3.994604981321061
253,4,1.0,16,True,[100000],2,-1.9995041022649365,-3.9773984448205586
254,4,1.0,16,True,[100000],4,-1.9995041022649365,-1.9995233420433796
255,4,1.0,16,True,[100000],4,-1.9995041022649365,-1.9995091102457532
256,4,1.0,16,True,[100000],4,-1.9995041022649365,-1.9995150006680917
257,4,1.0,16,True,[100000],4,-1.9995041022649365,-1.999521544622002
258,4,1.0,16,True,[100000],4,-1.9995041022649365,-1.999528085012103
259,4,1.0,16,True,[100000],4,-1.9995041022649365,-2.0820225555658567
260,4,1.0,16,True,[100000],4,-1.9995041022649365,-2.2443898729077048
261,4,1.0,16,True,[100000],4,-1.9995041022649365,-2.3245326344477397
262,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.0034335261982945
263,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.0034161744057233
264,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.0034155345620515
265,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.003404287665521
266,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.0034042808798507
267,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.003408210633035
268,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.0033994661095775
269,4,1.0,16,True,[100000],6,-1.9995041022649365,-2.0033897838918038
270,6,0.1,2,True,[100000],2,-2.1063870708353316,-2.1130064593665727
271,6,0.1,2,True,[100000],4,-2.1063870708353316,-2.2359094812907996
272,6,0.1,4,True,[100000],2,-2.433641206553936,-2.505187685214469
273,6,0.1,4,True,[100000],2,-2.433641206553936,-2.4479637315188714
274,6,0.1,4,True,[100000],4,-2.433641206553936,-2.5113647359881504
275,6,0.1,4,True,[100000],4,-2.433641206553936,-2.4668848077671344
276,6,0.1,8,True,[100000],2,-2.4199302862058967,-2.5347803854077973
277,6,0.1,8,True,[100000],2,-2.4199302862058967,-2.5058679030808153
278,6,0.1,8,True,[100000],2,-2.4199302862058967,-2.5056289375419323
279,6,0.1,8,True,[100000],2,-2.4199302862058967,-2.4701028827552145
280,6,0.1,8,True,[100000],4,-2.4199302862058967,-2.5494274616387815
281,6,0.1,8,True,[100000],4,-2.4199302862058967,-2.522738012305073
282,6,0.1,8,True,[100000],4,-2.4199302862058967,-2.4916976100716166
283,6,0.1,8,True,[100000],4,-2.4199302862058967,-2.4692967887413437
284,6,0.1,16,True,[100000],2,-2.5611961299684167,-2.573637368776708
